,nameWithOwner,createdAt,forkCount,primaryLanguage.name,stargazers.totalCount,releases.totalCount,releases.nodes
134,AFRL-RY/Explore-Coarse-3D-Reconstruction-Path-Planning-ATRC-Summer-2017,2017-10-03T12:01:04Z,1,Python,9,0,[]
135,asharma353/Anomaly-Detection-by-Netflow-and-DNS-Analysis-of-Alexa-1M-websites,2016-09-06T22:30:41Z,14,Python,9,0,[]
136,CSB5/shotgun-metagenomics-pipeline,2015-11-09T10:42:49Z,3,Python,9,0,[]
137,stadtgestalten/stadtgestalten,2016-07-21T02:28:55Z,4,Python,8,0,[]
138,thousandparsec/tpclient-pywx,2010-04-17T14:58:01Z,6,Python,8,0,[]
139,taylorludwig/Resolutions-Alfred,2013-07-24T23:54:13Z,0,Python,8,0,[]
140,abhijithasokan/Cusat-BTech-Result-Scraper,2017-01-12T14:48:21Z,1,Python,8,0,[]
141,sandeep-krishnamurthy/MovieSuccessPrediction,2013-11-01T08:20:41Z,8,Python,8,0,[]
142,rrmerugu/django-postgres-elasticsearch,2018-03-04T04:08:04Z,6,Python,7,0,[]
143,netscaler/neutron,2013-09-27T16:48:24Z,1,Python,7,0,[]
144,pablomc88/Primate_Visual_System,2017-06-08T09:30:08Z,0,Python,7,0,[]
145,rahulthawal/Finding-Object-by-Robotic-Arm,2016-07-23T19:08:42Z,2,Python,7,0,[]
146,jonasnick/ReceptiveFields,2013-02-12T00:11:06Z,9,Python,6,0,[]
147,vaibhavmule/django-uuid-primary-key,2017-10-23T07:40:48Z,2,Python,6,2,"[{'publishedAt': '2017-10-31T05:54:31Z'}, {'publishedAt': '2017-11-16T05:59:24Z'}]"
148,bolstycjw/odoo-s3-storage,2017-02-02T02:01:44Z,24,Python,6,0,[]
149,tvanesse/odoo-s3,2016-08-10T12:32:59Z,10,Python,6,0,[]
150,YanZiBuGuiCHunShiWan/Primary_machinelearning,2020-05-09T09:00:33Z,1,Python,6,0,[]
151,gunnbr/gthx,2015-12-28T21:28:24Z,4,Python,6,0,[]
152,NexoDevelopment/MK8_Exploit,2020-01-18T18:26:36Z,0,Python,6,0,[]
153,dandelany/tweetalyze,2012-04-28T22:23:23Z,1,Python,6,0,[]
154,sensviz7/Reinforcement-Learning-via-DQN-Agent-Carla,2020-08-13T19:54:27Z,0,Python,6,0,[]
155,samueljackson92/twitter-data-miner,2012-12-18T12:09:59Z,2,Python,6,0,[]
156,usnistgov/MUD-PD,2019-07-16T19:31:21Z,2,Python,6,0,[]
157,iuscommunity/repodataParser,2012-11-28T17:16:39Z,5,Python,5,0,[]
158,ratt-ru/eidos,2017-11-14T14:17:07Z,2,Python,5,6,"[{'publishedAt': '2019-05-10T07:49:15Z'}, {'publishedAt': '2019-06-21T14:20:07Z'}, {'publishedAt': '2019-06-22T17:19:39Z'}, {'publishedAt': '2019-08-08T15:47:50Z'}, {'publishedAt': '2019-12-23T15:44:55Z'}, {'publishedAt': '2020-03-11T15:09:43Z'}]"
159,usaa/vogel,2018-12-03T18:14:20Z,4,Python,5,0,[]
160,martinohanlon/SpaceCRAFT,2015-05-14T12:26:34Z,3,Python,5,0,[]
